id,name,ep,len,score
kaiji-s1, Gyakkyou Burai Kaiji: Ultimate Survivor, 26, 23, 10
kaiji-s2, Gyakkyou Burai Kaiji: Hakairoku-hen, 26, 24, 10
attack-on-titan-s3-p2, Shingeki no Kyojin Season 3 Part 2, 10, 23, 10
attack-on-titan-s3-p1, Shingeki no Kyojin Season 3, 12, 23, 10
attack-on-titan-s2, Shingeki no Kyojin Season 2, 12, 24, 10
bungou-stray-dogs-s3, Bungou Stray Dogs 3rd Season, 12, 23, 10
monster, Monster, 74, 24, 10
arslan-senki-s1, Arslan Senki, 25, 24, 10
akagi, Touhai Densetsu Akagi: Yami ni Maiorita Tensai, 26, 23, 10
code-geass-s1, Code Geass: Hangyaku no Lelouch, 25, 24, 10
overlord-s1, Overlord, 13, 24, 10
ixion-saga-dt, Ixion Saga DT, 25, 24, 10
seven-deadly-sins-s2, Nanatsu no Taizai: Imashime no Fukkatsu, 24, 24, 10
jojo-s1, JoJo no Kimyou na Bouken, 26, 24, 10
fullmetal-alchemist-2003, Fullmetal Alchemist(2003), 51, 24, 10
the-promised-neverland, Yakusoku no Neverland, 12, 22, 10
black-butler-s2, Kuroshitsuji II, 12, 24, 10
death-note, Death Note, 37, 23, 10
gintama-s4, Gintama°, 51, 24, 10
assassination-classroom-s1, Ansatsu Kyoushitsu, 22, 23, 9
assassination-classroom-s2, Ansatsu Kyoushitsu 2nd Season, 25, 23, 9
steins-gate-s1, Steins;Gate, 24, 24, 9
overlord-s2, Overlord II, 13, 23, 9
the-saga-of-tanya-the-evil, Youjo Senki, 12, 24, 9
vinland-saga, Vinland Saga, 24, 24, 9
re-zero-s1, Re:Zero kara Hajimeru Isekai Seikatsu, 25, 25, 9
gto, Great Teacher Onizuka, 43, 25, 9
attack-on-titan-s1, Shingeki no Kyojin, 25, 24, 9
rainbow, Rainbow: Nisha Rokubou no Shichinin, 26, 22, 9
jojo-s3, JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season, 24, 23, 9
jojo-s2, JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,24, 24, 9
re-zero-break-time, Re:Zero kara Hajimeru Break Time, 11, 2, 9
jojo-s5, JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, 39, 23, 9
grand-blue, Grand Blue, 12, 24, 9
banana-fish, Banana Fish, 24, 22, 9
